order_id,order_date,category,region,unit_price,quantity,revenue
5099,2026-01-01,Electronics,West,235.01,4,940.03
5125,2026-01-01,Clothing,East,48.29,4,193.18
5407,2026-01-01,Clothing,West,61.51,2,123.02
5233,2026-01-01,Clothing,West,37.5,4,150.01
5301,2026-01-01,Groceries,North,18.75,4,75.0
5241,2026-01-01,Groceries,West,14.81,2,29.61
5065,2026-01-02,Clothing,West,51.87,5,259.37
5148,2026-01-02,Electronics,East,240.16,1,240.16
5123,2026-01-02,Clothing,East,31.19,1,31.19
5113,2026-01-02,Clothing,West,42.63,2,85.27
5096,2026-01-02,Groceries,North,16.34,1,16.34
5432,2026-01-02,Toys,East,38.17,1,38.17
5344,2026-01-03,Clothing,East,32.96,1,32.96
5008,2026-01-03,Home,North,55.85,1,55.85
5122,2026-01-03,Electronics,East,179.89,1,179.89
5140,2026-01-03,Home,North,82.98,1,82.98
5082,2026-01-03,Clothing,East,42.81,74,3168.06
5492,2026-01-03,Electronics,North,243.3,1,243.3
5176,2026-01-04,Groceries,West,13.73,1,13.73
5313,2026-01-04,Groceries,North,23.37,1,23.37
5242,2026-01-04,Home,North,88.45,3,265.34
5108,2026-01-04,Electronics,East,349.21,4,1396.85
5212,2026-01-04,Groceries,South,13.26,3,39.77
5303,2026-01-04,Clothing,North,45.08,2,90.17
5440,2026-01-04,Home,West,90.86,1,90.86
5494,2026-01-05,Clothing,West,60.94,1,60.94
5106,2026-01-05,Electronics,North,267.82,1,267.82
5482,2026-01-05,Home,West,58.51,2,117.02
5449,2026-01-05,Clothing,East,63.59,1,63.59
5286,2026-01-05,Electronics,South,241.65,3,724.96
5384,2026-01-06,Home,South,64.23,1,64.23
5499,2026-01-06,Electronics,West,169.45,2,338.91
5134,2026-01-06,Toys,East,19.49,1,19.49
5226,2026-01-06,Groceries,East,10.29,1,10.29
5178,2026-01-07,Home,South,68.41,1,68.41
5480,2026-01-07,Home,North,89.17,3,267.52
5014,2026-01-07,Electronics,West,179.33,1,179.33
5297,2026-01-07,Groceries,East,14.66,1,14.66
5075,2026-01-07,Home,West,63.42,1,63.42
5276,2026-01-07,Groceries,West,17.39,4,69.55
5434,2026-01-07,Electronics,South,261.4,3,784.21
5111,2026-01-07,Toys,East,27.04,4,108.14
5213,2026-01-07,Groceries,East,18.42,3,55.26
5266,2026-01-08,Toys,West,30.23,1,30.23
5472,2026-01-08,Clothing,South,32.28,2,64.57
5066,2026-01-08,Groceries,East,8.55,4,34.18
5459,2026-01-08,Home,West,54.91,2,109.83
5265,2026-01-08,Home,West,101.21,2,202.43
5189,2026-01-08,Clothing,East,33.5,1,33.5
5236,2026-01-08,Clothing,West,41.46,3,124.37
5338,2026-01-09,Groceries,South,19.94,3,59.81
5146,2026-01-09,Groceries,East,16.34,1,16.34
5118,2026-01-09,Electronics,South,191.67,73,13991.59
5357,2026-01-09,Electronics,North,191.08,1,191.08
5461,2026-01-09,Clothing,East,41.36,1,41.36
5101,2026-01-09,Clothing,West,37.64,1,37.64
5404,2026-01-09,Groceries,West,21.47,2,42.94
5341,2026-01-09,Home,North,105.1,1,105.1
5255,2026-01-09,Groceries,West,10.0,1,10.0
5261,2026-01-10,Groceries,South,23.06,1,23.06
5177,2026-01-10,Electronics,North,108.81,1,108.81
5398,2026-01-10,Toys,South,26.49,3,79.48
5446,2026-01-11,Clothing,West,53.37,4,213.49
5264,2026-01-11,Home,West,91.99,1,91.99
5244,2026-01-11,Groceries,East,16.92,1,16.92
