transaction_id,amount,hour,distance_from_home_km,num_transactions_24h,is_online,merchant_category,is_fraud
100001,314.25,7,17.5,3,0,online_retail,0
100002,76.43,18,10.9,3,0,grocery,0
100003,8.51,9,21.4,1,1,online_retail,0
100004,75.49,14,17.8,4,0,restaurant,0
100005,71.93,11,98.6,4,1,online_retail,1
100006,20.57,17,24.2,5,0,grocery,0
100007,53.74,8,14.1,3,1,travel,0
100008,35.95,2,119.8,2,1,travel,1
100009,115.16,7,2.0,4,1,online_retail,0
100010,1.0,15,49.9,4,0,grocery,0
100011,34.96,14,11.0,3,0,travel,0
100012,10.26,23,3.3,2,1,grocery,1
100013,13.86,5,8.7,1,0,grocery,0
100014,41.15,10,17.3,2,0,online_retail,0
100015,32.89,22,3.3,3,1,online_retail,0
100016,116.7,2,7.5,3,1,restaurant,1
100017,1.63,16,18.0,5,0,online_retail,0
100018,129.7,22,39.5,2,1,online_retail,0
100019,11.17,22,19.0,4,0,restaurant,0
100020,16.61,16,10.2,1,0,grocery,0
100021,206.99,21,25.2,4,0,restaurant,0
100022,57.68,4,2.6,1,0,electronics,1
100023,25.94,18,6.6,1,0,grocery,0
100024,288.8,16,14.7,2,1,grocery,0
100025,15.69,12,13.7,5,1,electronics,0
100026,33.88,23,15.9,4,0,online_retail,1
100027,245.42,20,9.7,3,0,online_retail,0
100028,210.95,5,3.3,3,1,restaurant,0
100029,73.25,23,0.0,2,0,travel,0
100030,19.61,20,24.1,3,1,electronics,0
100031,134.65,8,53.0,0,1,electronics,0
100032,44.37,16,10.9,2,0,restaurant,0
100033,2.82,18,55.5,5,1,grocery,1
100034,102.26,5,41.2,4,1,online_retail,0
100035,67.09,6,94.0,3,1,electronics,1
100036,11.39,4,30.4,0,0,online_retail,0
100037,1.52,11,10.3,7,0,grocery,0
100038,33.19,22,107.6,1,0,electronics,0
100039,21.24,9,8.9,2,0,grocery,0
100040,25.74,8,3.1,5,1,grocery,0
100041,61.93,22,5.4,2,1,grocery,1
100042,17.17,10,5.5,3,0,grocery,0
100043,233.82,1,16.0,3,1,restaurant,1
100044,181.37,15,21.9,2,0,restaurant,0
100045,14.36,18,19.0,2,0,restaurant,0
100046,27.5,10,7.7,5,1,grocery,0
100047,165.79,22,18.7,5,0,restaurant,0
100048,209.79,0,69.4,3,1,grocery,1
100049,2.94,20,3.6,1,1,restaurant,0
100050,10.15,6,38.0,5,1,travel,0
100051,8.56,19,2.9,3,0,electronics,0
100052,16.92,11,32.3,8,1,restaurant,0
100053,95.6,15,3.8,6,0,electronics,0
100054,141.36,18,29.1,5,0,online_retail,0
100055,92.29,21,14.8,2,1,restaurant,1
100056,154.29,14,27.5,3,1,online_retail,0
100057,1.3,15,56.0,5,0,electronics,0
100058,55.36,10,4.4,2,1,restaurant,0
100059,62.71,1,23.7,5,0,electronics,0
100060,4.85,4,26.2,5,1,restaurant,0
100061,120.47,2,16.6,2,1,online_retail,0
100062,27.21,18,3.0,2,0,restaurant,0
100063,123.82,2,8.1,1,0,travel,0
100064,158.15,4,30.1,4,1,online_retail,0
100065,171.05,5,7.3,6,0,restaurant,0
100066,25.94,17,27.4,3,1,online_retail,0
100067,67.0,7,31.8,3,0,travel,0
100068,60.17,11,26.1,3,0,online_retail,0
100069,22.09,16,7.2,4,0,restaurant,0
100070,36.02,13,10.3,5,1,online_retail,0
100071,15.67,11,22.3,3,0,restaurant,0
100072,1.0,9,3.4,3,0,restaurant,0
100073,158.98,22,13.0,2,0,online_retail,0
100074,29.45,4,58.7,3,1,restaurant,1
100075,45.38,19,38.8,4,0,restaurant,0
100076,14.5,4,2.6,2,1,online_retail,1
100077,9.53,11,0.4,6,0,online_retail,0
100078,120.05,15,19.3,2,0,travel,0
100079,16.42,6,78.9,1,0,grocery,0
100080,189.36,6,27.5,5,0,online_retail,0
100081,31.15,4,9.2,2,1,restaurant,0
100082,245.65,0,16.2,2,0,restaurant,0
100083,73.01,6,15.2,6,1,online_retail,0
100084,46.97,4,32.7,3,0,restaurant,1
100085,22.37,15,21.4,4,0,grocery,0
100086,197.92,22,22.6,4,1,travel,0
100087,76.09,0,4.6,3,0,online_retail,1
100088,21.0,17,1.5,4,0,online_retail,0
100089,34.23,9,0.6,4,0,restaurant,0
100090,19.02,13,77.6,2,0,online_retail,0
100091,9.95,23,26.0,5,1,grocery,1
100092,37.08,9,36.9,3,1,grocery,0
100093,48.48,2,62.3,0,1,online_retail,0
100094,28.18,19,16.3,2,0,restaurant,0
100095,112.41,21,1.7,3,0,grocery,0
100096,17.69,6,58.5,3,0,online_retail,0
100097,73.46,13,28.0,5,0,restaurant,0
100098,35.37,15,9.6,3,0,grocery,0
100099,152.59,3,14.6,1,1,restaurant,1
100100,58.28,0,6.7,5,1,restaurant,0
100101,172.36,0,25.4,2,0,electronics,0
100102,44.74,15,48.3,6,1,electronics,0
100103,1.39,14,6.6,2,0,grocery,0
100104,1.0,23,11.4,2,1,restaurant,1
100105,4.68,14,14.8,2,0,online_retail,0
100106,6.34,17,3.9,6,0,online_retail,0
100107,131.75,11,12.6,2,1,grocery,0
100108,65.93,1,22.9,2,0,restaurant,0
100109,39.87,8,8.8,1,0,restaurant,0
100110,52.8,14,33.0,4,1,grocery,1
100111,253.08,16,18.2,2,0,grocery,0
100112,24.88,7,10.5,3,0,electronics,0
100113,25.01,3,12.9,4,1,online_retail,0
100114,1.0,22,23.5,6,0,grocery,0
100115,8.7,5,1.0,4,0,online_retail,0
100116,16.96,0,59.0,7,1,restaurant,0
100117,1.0,9,12.2,3,0,online_retail,0
100118,57.92,0,25.2,2,0,online_retail,0
100119,134.29,15,56.7,3,0,grocery,0
100120,30.19,2,2.3,4,1,restaurant,0
100121,13.85,7,20.1,1,0,travel,0
100122,56.76,8,5.7,1,1,electronics,0
100123,66.35,17,4.7,3,1,grocery,0
100124,41.81,21,17.6,4,0,grocery,0
100125,10.5,16,32.0,2,0,grocery,0
100126,133.77,13,13.7,5,0,grocery,0
100127,15.42,5,4.4,3,0,electronics,1
100128,32.26,15,19.9,4,0,restaurant,0
100129,11.65,17,6.0,2,0,electronics,0
100130,218.37,1,67.5,2,0,online_retail,0
100131,83.38,13,12.7,2,0,online_retail,0
100132,24.1,4,30.7,2,0,grocery,0
100133,89.38,2,6.0,3,1,restaurant,0
100134,2.09,9,13.2,2,1,online_retail,0
100135,44.6,19,3.1,5,0,grocery,0
100136,72.92,15,50.0,0,1,restaurant,0
100137,51.74,21,62.8,2,1,grocery,0
100138,107.66,18,8.2,0,1,grocery,0
100139,135.73,8,7.0,3,1,grocery,0
100140,60.82,13,38.9,2,0,grocery,0
100141,7.81,7,27.4,7,1,grocery,0
100142,77.2,6,15.5,5,1,grocery,0
100143,4.66,15,9.9,5,1,travel,0
100144,12.91,4,22.3,1,1,online_retail,0
100145,142.01,9,5.6,4,1,grocery,1
100146,265.9,10,19.6,7,1,online_retail,0
100147,94.02,12,26.1,1,1,online_retail,0
100148,10.55,6,44.3,5,0,online_retail,0
100149,138.31,5,11.9,1,0,electronics,0
100150,56.44,18,5.9,2,1,grocery,0
100151,36.51,11,12.8,2,0,grocery,0
100152,95.65,21,6.9,7,1,online_retail,0
100153,27.5,11,29.2,3,1,electronics,0
100154,17.16,19,25.8,3,0,electronics,0
100155,196.75,19,2.9,2,1,restaurant,0
100156,41.97,2,0.9,4,1,restaurant,1
100157,51.18,19,30.8,2,1,grocery,0
100158,23.02,18,13.5,3,1,restaurant,0
100159,139.82,14,24.6,2,0,travel,0
100160,27.85,0,36.4,4,0,grocery,1
100161,45.4,20,3.5,2,1,restaurant,0
100162,80.91,3,27.6,1,1,grocery,0
100163,4.88,21,21.2,5,1,online_retail,0
100164,68.73,16,15.5,3,0,online_retail,0
100165,335.73,8,20.0,0,0,grocery,0
100166,63.04,7,9.8,4,0,grocery,0
100167,97.48,13,9.8,1,1,travel,0
100168,63.97,19,5.5,6,0,travel,0
100169,79.51,7,4.6,5,1,online_retail,0
100170,13.0,16,6.7,3,0,restaurant,1
100171,59.57,9,10.6,1,1,online_retail,0
100172,14.96,15,8.0,3,1,electronics,0
100173,45.85,15,13.7,3,0,grocery,0
100174,136.79,14,7.6,2,1,online_retail,0
100175,270.44,5,9.6,3,1,electronics,0
100176,7.64,21,42.4,5,1,grocery,0
100177,22.43,13,7.5,4,1,restaurant,0
100178,5.87,19,0.1,3,1,restaurant,0
100179,91.46,9,10.7,2,0,online_retail,0
100180,3.72,0,3.9,1,1,online_retail,1
100181,151.25,22,2.1,3,0,grocery,0
100182,87.82,23,13.5,3,1,restaurant,0
100183,72.07,17,1.0,2,0,electronics,0
100184,62.03,10,21.8,5,1,online_retail,0
100185,122.36,15,5.5,2,1,restaurant,0
100186,22.95,7,8.1,2,0,restaurant,0
100187,40.88,5,7.8,0,1,restaurant,0
100188,9.87,20,25.3,5,1,restaurant,1
100189,77.05,5,9.2,3,0,electronics,0
100190,17.85,22,53.8,6,0,grocery,0
100191,30.2,14,46.0,1,1,grocery,0
100192,101.94,18,0.2,1,1,online_retail,0
100193,2.15,4,3.6,3,0,restaurant,0
100194,83.88,17,10.6,8,1,grocery,0
100195,26.55,17,5.2,1,0,online_retail,0
100196,216.47,0,16.4,2,0,grocery,0
100197,7.16,23,4.5,3,1,online_retail,0
100198,211.81,6,7.5,4,0,restaurant,0
100199,96.36,17,24.6,3,1,grocery,0
100200,28.53,19,32.5,3,1,grocery,0
100201,6.39,6,48.3,4,1,grocery,0
100202,12.6,23,82.4,1,1,online_retail,1
100203,19.74,9,51.9,2,1,grocery,0
100204,28.89,6,15.2,2,0,online_retail,0
100205,205.26,14,28.6,1,0,travel,0
100206,30.83,18,89.3,3,1,grocery,0
100207,15.25,22,13.2,4,1,electronics,0
100208,98.76,2,6.6,4,0,travel,0
100209,234.24,1,2.0,2,1,electronics,1
100210,85.4,17,9.8,5,1,grocery,0
100211,12.05,22,18.4,5,1,online_retail,0
100212,13.34,8,25.3,4,0,restaurant,0
100213,53.28,0,1.8,1,0,restaurant,0
100214,324.0,1,21.2,3,0,online_retail,0
100215,106.17,2,70.8,2,0,grocery,0
100216,26.02,4,20.7,2,1,grocery,0
