iter	Passed	Remaining
0	3	653
1	5	506
2	6	434
3	8	413
4	10	406
5	12	390
6	13	380
7	15	372
8	17	366
9	19	361
10	20	355
11	22	352
12	24	347
13	25	341
14	27	339
15	29	335
16	30	332
17	33	338
18	35	336
19	36	331
20	38	330
21	40	327
22	42	325
23	43	322
24	45	320
25	47	318
26	49	317
27	51	315
28	53	312
29	55	314
30	57	315
31	59	314
32	61	312
33	63	309
34	65	306
35	66	303
36	68	301
37	70	299
38	71	297
39	73	295
40	75	293
41	77	290
42	78	287
43	81	289
44	84	290
45	86	290
46	88	287
47	90	287
48	92	285
49	94	283
50	96	281
51	98	279
52	99	276
53	101	274
54	103	272
55	104	269
56	107	269
57	109	268
58	111	266
59	113	264
60	115	262
61	117	260
62	119	259
63	121	258
64	123	256
65	125	254
66	127	253
67	130	253
68	132	250
69	134	248
70	135	246
71	137	244
72	139	242
73	141	240
74	142	237
75	144	235
76	146	233
77	147	231
78	150	229
79	151	227
80	153	225
81	155	223
82	156	221
83	158	219
84	160	216
85	162	215
86	164	213
87	165	210
88	167	209
89	169	207
90	171	205
91	172	203
92	174	201
93	176	199
94	178	197
95	180	195
96	181	193
97	183	191
98	185	189
99	187	187
100	189	185
101	190	183
102	192	180
103	193	178
104	194	176
105	196	174
106	197	171
107	198	169
108	200	167
109	201	164
110	202	162
111	203	159
112	204	157
113	205	154
114	206	152
115	207	150
116	208	147
117	209	145
118	210	143
119	211	140
120	211	138
121	212	136
122	213	133
123	214	131
124	215	129
125	215	126
126	216	124
127	217	122
128	217	119
129	218	117
130	218	115
131	219	113
132	220	110
133	220	108
134	221	106
135	221	104
136	222	102
137	222	100
138	223	98
139	223	95
140	224	93
141	224	91
142	225	89
143	225	87
144	226	85
145	226	83
146	227	81
147	227	79
148	228	78
149	228	76
150	228	74
151	229	72
152	229	70
153	230	68
154	230	66
155	231	65
156	231	63
157	231	61
158	232	59
159	232	58
160	232	56
161	233	54
162	233	53
163	233	51
164	234	49
165	234	48
166	234	46
167	235	44
168	235	43
169	235	41
170	236	40
171	236	38
172	236	36
173	237	35
174	237	33
175	237	32
176	238	30
177	238	29
178	238	27
179	238	26
180	239	25
181	239	23
182	239	22
183	240	20
184	240	19
185	240	18
186	241	16
187	241	15
188	241	14
189	242	12
190	242	11
191	242	10
192	242	8
193	243	7
194	243	6
195	243	4
196	244	3
197	244	2
198	244	1
199	245	0
